"name","run.no.in.std.order","run.no","run.no.std.rp","test","size","L1_hit","L1_load"
"1","7",1,"7.1","seq-simd","2000",7266010899, 16176024264
"2","15",2,"15.1","parallel-inverted-simd-aligned","4000",38188057282, 54098081147
"3","4",3,"4.1","seq-inverted-simd-aligned","1000",6596009894, 6782010173
"4","10",4,"10.1","parallel-inverted-simd-aligned","2000",5764008646, 7736011604
"5","13",5,"13.1","seq-inverted-simd","4000",31462047193, 70226105339
"6","11",6,"11.1","seq","4000",57138085707, 134574201861
"7","9",7,"9.1","seq-inverted-simd-aligned","2000",10216015324, 12174018261
"8","2",8,"2.1","seq-simd","1000",6226009339, 7306010959
"9","12",9,"12.1","seq-simd","4000",17598026397, 86474129711
"10","14",10,"14.1","seq-inverted-simd-aligned","4000",27842041763, 54292081438
"11","6",11,"6.1","seq","2000",12826019239, 22050033075
"12","5",12,"5.1","parallel-inverted-simd-aligned","1000",1190001785, 1288001932
"13","8",13,"8.1","seq-inverted-simd","2000",10506015759, 14152021228
"14","1",14,"1.1","seq","1000",7152010728, 8160012240
"15","3",15,"3.1","seq-inverted-simd","1000",6816010224, 7108010662
"16","10",16,"10.2","parallel-inverted-simd-aligned","2000",6296009444, 8276012414
"17","8",17,"8.2","seq-inverted-simd","2000",10570015855, 14208021312
"18","12",18,"12.2","seq-simd","4000",17666026499, 86544129816
"19","2",19,"2.2","seq-simd","1000",6206009309, 7290010935
"20","3",20,"3.2","seq-inverted-simd","1000",6860010290, 7138010707
"21","9",21,"9.2","seq-inverted-simd-aligned","2000",10028015042, 11988017982
"22","1",22,"1.2","seq","1000",7072010608, 8078012117
"23","4",23,"4.2","seq-inverted-simd-aligned","1000",6610009915, 6798010197
"24","6",24,"6.2","seq","2000",12954019431, 22160033240
"25","5",25,"5.2","parallel-inverted-simd-aligned","1000",2066003099, 2166003249
"26","11",26,"11.2","seq","4000",56784085176, 134428201642
"27","14",27,"14.2","seq-inverted-simd-aligned","4000",27764041646, 54222081333
"28","13",28,"13.2","seq-inverted-simd","4000",31602047403, 70320105480
"29","7",29,"7.2","seq-simd","2000",7390011085, 16266024399
"30","15",30,"15.2","parallel-inverted-simd-aligned","4000",36564054846, 52564078846
"31","11",31,"11.3","seq","4000",57184085776, 134562201843
"32","3",32,"3.3","seq-inverted-simd","1000",6920010380, 7190010785
"33","12",33,"12.3","seq-simd","4000",17538026307, 86508129762
"34","1",34,"1.3","seq","1000",7104010656, 8108012162
"35","13",35,"13.3","seq-inverted-simd","4000",31574047361, 70314105471
"36","5",36,"5.3","parallel-inverted-simd-aligned","1000",1448002172, 1558002337
"37","2",37,"2.3","seq-simd","1000",6224009336, 7308010962
"38","6",38,"6.3","seq","2000",13148019722, 22066033099
"39","9",39,"9.3","seq-inverted-simd-aligned","2000",10180015270, 12138018207
"40","14",40,"14.3","seq-inverted-simd-aligned","4000",27762041643, 54244081366
"41","8",41,"8.3","seq-inverted-simd","2000",10516015774, 14170021255
"42","4",42,"4.3","seq-inverted-simd-aligned","1000",6684010026, 6868010302
"43","10",43,"10.3","parallel-inverted-simd-aligned","2000",5444008166, 7430011145
"44","7",44,"7.3","seq-simd","2000",7260010890, 16144024216
"45","15",45,"15.3","parallel-inverted-simd-aligned","4000",37062055593, 53116079674
"46","6",46,"6.4","seq","2000",13248019872, 22176033264
"47","9",47,"9.4","seq-inverted-simd-aligned","2000",10214015321, 12164018246
"48","3",48,"3.4","seq-inverted-simd","1000",6896010344, 7180010770
"49","8",49,"8.4","seq-inverted-simd","2000",10456015684, 14108021162
"50","15",50,"15.4","parallel-inverted-simd-aligned","4000",37750056625, 53696080544
"51","4",51,"4.4","seq-inverted-simd-aligned","1000",6754010131, 6934010401
"52","7",52,"7.4","seq-simd","2000",7328010992, 16200024300
"53","11",53,"11.4","seq","4000",56676085014, 134524201786
"54","13",54,"13.4","seq-inverted-simd","4000",31586047379, 70296105444
"55","5",55,"5.4","parallel-inverted-simd-aligned","1000",1482002223, 1586002379
"56","1",56,"1.4","seq","1000",7170010755, 8184012276
"57","2",57,"2.4","seq-simd","1000",6200009300, 7280010920
"58","14",58,"14.4","seq-inverted-simd-aligned","4000",27720041580, 54182081273
"59","10",59,"10.4","parallel-inverted-simd-aligned","2000",5742008613, 7716011574
"60","12",60,"12.4","seq-simd","4000",17434026151, 86490129735
"61","6",61,"6.5","seq","2000",13284019926, 22220033330
"62","2",62,"2.5","seq-simd","1000",6258009387, 7336011004
"63","12",63,"12.5","seq-simd","4000",17524026286, 86524129786
"64","10",64,"10.5","parallel-inverted-simd-aligned","2000",6338009507, 8308012462
"65","9",65,"9.5","seq-inverted-simd-aligned","2000",10238015357, 12198018297
"66","7",66,"7.5","seq-simd","2000",7280010920, 16158024237
"67","11",67,"11.5","seq","4000",56936085404, 134516201774
"68","8",68,"8.5","seq-inverted-simd","2000",10520015780, 14170021255
"69","1",69,"1.5","seq","1000",7086010629, 8096012144
"70","5",70,"5.5","parallel-inverted-simd-aligned","1000",1608002412, 1718002577
"71","14",71,"14.5","seq-inverted-simd-aligned","4000",27772041658, 54234081351
"72","3",72,"3.5","seq-inverted-simd","1000",6738010107, 7026010539
"73","13",73,"13.5","seq-inverted-simd","4000",31594047391, 70310105465
"74","4",74,"4.5","seq-inverted-simd-aligned","1000",6712010068, 6894010341
"75","15",75,"15.5","parallel-inverted-simd-aligned","4000",37150055725, 53124079686
"76","13",76,"13.6","seq-inverted-simd","4000",31396047094, 70152105228
"77","8",77,"8.6","seq-inverted-simd","2000",10506015759, 14152021228
"78","2",78,"2.6","seq-simd","1000",6190009285, 7268010902
"79","9",79,"9.6","seq-inverted-simd-aligned","2000",10186015279, 12148018222
"80","6",80,"6.6","seq","2000",13314019971, 22224033336
"81","7",81,"7.6","seq-simd","2000",7294010941, 16178024267
"82","3",82,"3.6","seq-inverted-simd","1000",6830010245, 7118010677
"83","4",83,"4.6","seq-inverted-simd-aligned","1000",6746010119, 6928010392
"84","14",84,"14.6","seq-inverted-simd-aligned","4000",27780041670, 54234081351
"85","1",85,"1.6","seq","1000",7100010650, 8110012165
"86","15",86,"15.6","parallel-inverted-simd-aligned","4000",37916056874, 53888080832
"87","12",87,"12.6","seq-simd","4000",17572026358, 86518129777
"88","5",88,"5.6","parallel-inverted-simd-aligned","1000",1968002952, 2096003144
"89","10",89,"10.6","parallel-inverted-simd-aligned","2000",6112009168, 8182012273
"90","11",90,"11.6","seq","4000",57076085614, 134548201822
"91","10",91,"10.7","parallel-inverted-simd-aligned","2000",5820008730, 7804011706
"92","6",92,"6.7","seq","2000",13032019548, 22220033330
"93","15",93,"15.7","parallel-inverted-simd-aligned","4000",38272057408, 54282081423
"94","9",94,"9.7","seq-inverted-simd-aligned","2000",10158015237, 12112018168
"95","13",95,"13.7","seq-inverted-simd","4000",31548047322, 70270105405
"96","7",96,"7.7","seq-simd","2000",7326010989, 16214024321
"97","11",97,"11.7","seq","4000",57022085533, 134480201720
"98","4",98,"4.7","seq-inverted-simd-aligned","1000",6746010119, 6926010389
"99","14",99,"14.7","seq-inverted-simd-aligned","4000",27756041634, 54218081327
"100","2",100,"2.7","seq-simd","1000",6264009396, 7342011013
"101","12",101,"12.7","seq-simd","4000",17512026268, 86568129852
"102","8",102,"8.7","seq-inverted-simd","2000",10542015813, 14172021258
"103","1",103,"1.7","seq","1000",7054010581, 8060012090
"104","5",104,"5.7","parallel-inverted-simd-aligned","1000",1646002469, 1764002646
"105","3",105,"3.7","seq-inverted-simd","1000",6788010182, 7078010617
"106","5",106,"5.8","parallel-inverted-simd-aligned","1000",1378002067, 1478002217
"107","13",107,"13.8","seq-inverted-simd","4000",31744047616, 70346105519
"108","14",108,"14.8","seq-inverted-simd-aligned","4000",27824041736, 54276081414
"109","4",109,"4.8","seq-inverted-simd-aligned","1000",6764010146, 6948010422
"110","3",110,"3.8","seq-inverted-simd","1000",6906010359, 7178010767
"111","1",111,"1.8","seq","1000",7134010701, 8146012219
"112","10",112,"10.8","parallel-inverted-simd-aligned","2000",5560008340, 7528011292
"113","12",113,"12.8","seq-simd","4000",17556026334, 86516129774
"114","8",114,"8.8","seq-inverted-simd","2000",10504015756, 14154021231
"115","15",115,"15.8","parallel-inverted-simd-aligned","4000",38190057285, 54262081393
"116","11",116,"11.8","seq","4000",56908085362, 134414201621
"117","9",117,"9.8","seq-inverted-simd-aligned","2000",10042015063, 12004018006
"118","2",118,"2.8","seq-simd","1000",6272009408, 7354011031
"119","7",119,"7.8","seq-simd","2000",7326010989, 16198024297
"120","6",120,"6.8","seq","2000",13330019995, 22244033366
"121","12",121,"12.9","seq-simd","4000",17376026064, 86428129642
"122","13",122,"13.9","seq-inverted-simd","4000",31586047379, 70306105459
"123","5",123,"5.9","parallel-inverted-simd-aligned","1000",1286001929, 1384002076
"124","2",124,"2.9","seq-simd","1000",6142009213, 7222010833
"125","3",125,"3.9","seq-inverted-simd","1000",6946010419, 7212010818
"126","9",126,"9.9","seq-inverted-simd-aligned","2000",10140015210, 12098018147
"127","14",127,"14.9","seq-inverted-simd-aligned","4000",27840041760, 54306081459
"128","6",128,"6.9","seq","2000",13266019899, 22198033297
"129","15",129,"15.9","parallel-inverted-simd-aligned","4000",37800056700, 53814080721
"130","1",130,"1.9","seq","1000",7024010536, 8040012060
"131","8",131,"8.9","seq-inverted-simd","2000",10510015765, 14132021198
"132","11",132,"11.9","seq","4000",56916085374, 134548201822
"133","7",133,"7.9","seq-simd","2000",7274010911, 16150024225
"134","10",134,"10.9","parallel-inverted-simd-aligned","2000",6222009333, 8204012306
"135","4",135,"4.9","seq-inverted-simd-aligned","1000",6750010125, 6930010395
"136","12",136,"12.10","seq-simd","4000",17598026397, 86552129828
"137","6",137,"6.10","seq","2000",13198019797, 22126033189
"138","7",138,"7.10","seq-simd","2000",7318010977, 16196024294
"139","4",139,"4.10","seq-inverted-simd-aligned","1000",6672010008, 6854010281
"140","5",140,"5.10","parallel-inverted-simd-aligned","1000",1102001653, 1210001815
"141","2",141,"2.10","seq-simd","1000",6306009459, 7380011070
"142","9",142,"9.10","seq-inverted-simd-aligned","2000",10212015318, 12174018261
"143","1",143,"1.10","seq","1000",7056010584, 8072012108
"144","13",144,"13.10","seq-inverted-simd","4000",31636047454, 70328105492
"145","10",145,"10.10","parallel-inverted-simd-aligned","2000",6234009351, 8208012312
"146","3",146,"3.10","seq-inverted-simd","1000",6876010314, 7162010743
"147","8",147,"8.10","seq-inverted-simd","2000",10550015825, 14184021276
"148","15",148,"15.10","parallel-inverted-simd-aligned","4000",36322054483, 52256078384
"149","14",149,"14.10","seq-inverted-simd-aligned","4000",27828041742, 54268081402
"150","11",150,"11.10","seq","4000",56946085419, 134390201585
